emotions1,emotions2,emotions3,emotions4,emotions5,emotions6,emotions7,attention1,attention2,attention3,psychdistance1,psychdistance2,psychdistance3,liking1,liking2,liking3,liking4,liking5,humor1,humor2,humor3,aversiveness,messagediscounting1,messagediscounting2,messagediscounting3,messagediscounting4,attitudepositive1,attitudepositive2,attitudepositive3,attitudenegative1,attitudenegative2,attitudenegative3,age,newsconsumption1,newsconsumption2,newsconsumption3,newsconsumption4,condition,country
4,4,3,4,6,2,2,6,7,4,2,6,6,4,4,6,4,4,3,6,5,6,1,2,2,2,4,2,2,6,7,5,50,7,7,5,5,sat,UK
3,3,4,4,2,4,4,5,5,3,3,7,2,2,2,3,2,2,3,2,2,4,2,4,2,6,6,6,6,2,2,2,57,3,7,4,4,sat,UK
3,2,5,2,1,5,5,6,6,6,5,6,5,6,5,6,5,3,3,3,5,3,1,2,6,2,2,2,3,6,6,5,26,3,4,3,4,sat,UK
1,1,1,1,1,6,1,6,6,6,2,7,1,7,7,7,7,6,7,7,6,2,7,7,7,5,5,3,5,4,4,4,58,7,4,3,4,sat,UK
5,3,6,4,3,5,6,6,6,3,2,6,6,3,4,3,6,3,5,6,4,3,3,3,2,3,5,3,5,3,5,3,30,6,7,2,3,reg,UK
2,4,3,3,2,4,5,6,6,4,4,6,3,4,3,4,3,3,4,4,3,4,3,3,4,5,5,5,4,3,4,4,22,3,6,4,6,reg,NZ
4,4,5,5,2,2,5,6,6,6,2,6,2,6,2,6,2,2,2,2,3,6,2,2,2,2,5,3,2,5,5,6,55,6,6,5,2,reg,NZ
4,4,4,4,4,4,5,5,6,4,6,6,6,3,4,3,4,4,4,4,4,3,3,4,2,6,5,2,5,3,3,4,43,3,7,5,3,reg,UK
1,3,1,1,4,4,2,5,5,5,6,6,6,4,2,4,1,2,1,1,1,2,2,2,4,2,3,7,2,6,6,6,24,5,5,1,3,reg,UK
2,3,3,5,5,4,4,7,7,5,5,5,4,5,4,5,4,4,1,1,1,5,1,1,3,1,3,5,2,5,3,5,43,5,5,4,5,sat,NZ
3,5,4,4,1,4,5,6,5,5,4,6,4,5,5,5,3,5,2,3,5,1,3,4,4,3,5,5,5,5,5,5,29,3,6,4,4,reg,NZ
3,3,5,4,2,2,5,6,6,6,4,4,4,5,4,5,4,4,5,5,4,2,4,4,6,4,5,5,5,3,3,3,36,3,6,3,4,sat,NZ
3,3,3,5,1,5,5,6,5,6,4,6,3,3,4,6,5,4,2,4,4,5,2,3,2,2,5,5,5,3,4,4,35,5,5,2,2,sat,UK
4,4,6,6,4,4,3,4,4,2,5,4,4,5,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,5,5,40,3,4,3,2,sat,NZ
3,4,2,3,5,3,2,6,6,4,6,6,6,6,3,5,2,3,6,6,5,4,5,6,5,4,6,5,6,2,5,3,24,4,5,3,3,sat,UK
4,4,4,3,4,4,4,5,4,5,5,5,3,4,4,6,4,5,3,4,4,4,3,6,2,6,7,7,4,3,5,5,53,4,5,3,3,reg,UK
2,2,2,2,2,2,2,7,7,7,3,5,4,4,5,4,4,4,6,6,6,2,7,7,7,7,4,4,4,2,2,2,43,2,4,4,6,sat,UK
1,1,1,1,1,1,1,6,6,3,5,6,1,6,2,2,2,2,2,2,2,2,2,5,5,5,4,4,3,4,3,3,54,6,3,3,4,sat,NZ
1,4,3,2,2,3,5,5,5,2,1,3,2,3,2,5,2,2,1,1,2,2,1,3,6,5,6,6,5,3,3,5,27,3,4,3,5,sat,UK
3,3,4,3,1,2,5,7,6,5,6,6,5,4,3,5,3,3,3,3,3,5,2,2,2,2,5,3,5,4,5,5,35,3,4,6,4,reg,NZ
6,2,6,5,6,4,6,5,5,6,6,6,6,6,5,6,4,2,2,2,5,4,2,2,4,2,2,2,3,2,2,2,26,4,4,1,3,reg,NZ
1,1,1,1,5,1,5,7,6,7,5,7,7,6,2,6,1,1,1,1,2,1,1,1,6,2,3,3,1,2,2,1,38,6,3,6,1,reg,UK
1,4,5,4,5,1,3,6,6,6,7,7,7,6,4,6,4,4,2,2,2,3,3,3,3,3,3,3,3,5,5,5,30,4,4,1,1,sat,NZ
1,1,1,1,1,5,1,7,7,5,1,7,1,3,2,5,1,2,2,6,1,2,4,4,4,5,5,5,5,5,5,5,37,3,3,2,2,sat,NZ
2,4,4,4,2,2,4,4,5,5,2,3,2,4,4,5,4,4,4,4,4,4,2,4,4,3,4,4,4,5,5,3,36,5,5,2,4,reg,UK
6,4,6,4,5,4,5,6,6,6,2,2,5,6,5,6,4,4,2,2,4,5,3,3,2,5,2,2,2,6,6,5,25,3,5,4,2,reg,UK
3,3,3,3,4,5,5,6,5,5,2,3,1,4,3,5,2,1,1,2,2,5,3,3,3,3,4,5,3,4,5,4,30,5,6,4,3,sat,NZ
4,4,4,4,4,4,4,6,6,6,5,5,3,7,4,7,5,4,4,4,4,3,2,2,2,2,5,3,3,3,5,4,62,5,7,3,3,reg,NZ
2,4,2,3,5,2,5,6,6,5,5,6,6,3,5,5,3,4,2,5,5,3,2,5,6,3,3,4,5,3,4,6,34,7,5,6,5,reg,UK
2,4,3,3,2,2,2,5,4,4,6,6,5,3,4,5,2,4,4,4,3,4,2,2,5,2,5,4,3,3,5,6,22,4,6,4,4,reg,NZ
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,28,3,3,3,3,reg,NZ
4,4,4,4,5,4,5,7,4,5,5,6,4,4,4,5,4,3,4,4,4,4,2,2,2,2,4,4,5,5,5,4,58,7,6,4,3,sat,UK
1,1,5,1,1,1,5,6,7,3,1,1,1,4,1,2,1,1,1,1,1,2,1,1,2,1,4,2,3,5,5,4,60,2,4,1,1,reg,NZ
2,4,5,2,2,6,1,7,6,6,6,6,3,6,2,5,2,2,5,2,2,6,2,4,2,6,6,6,6,5,5,5,26,2,4,6,4,reg,NZ
1,1,5,1,4,4,5,5,5,4,5,7,5,3,3,4,2,2,2,2,3,4,2,2,4,2,4,4,4,4,4,4,37,5,3,5,5,reg,UK
4,2,3,3,2,4,4,6,6,3,5,5,5,4,4,3,4,3,5,5,5,5,6,6,7,6,5,5,5,5,5,5,54,4,4,4,4,sat,NZ
3,2,2,1,5,4,5,6,6,4,6,6,6,3,1,5,4,1,1,1,1,6,1,1,1,1,4,3,4,4,5,4,45,4,7,3,4,sat,NZ
4,6,4,4,4,4,4,6,6,5,5,7,6,4,4,5,4,4,4,4,4,4,4,5,3,6,5,3,3,2,5,4,28,3,5,2,3,sat,NZ
4,3,5,4,3,3,5,6,6,6,2,5,6,3,2,5,3,4,1,2,3,3,1,3,4,1,4,4,2,4,4,2,46,2,5,5,4,reg,UK
2,2,2,2,6,2,2,6,5,5,2,2,1,4,4,5,2,4,2,2,4,6,2,3,2,2,4,3,4,4,5,5,58,7,7,3,3,sat,NZ
5,4,1,1,1,1,1,5,6,6,7,7,7,6,6,7,1,3,1,1,1,1,1,1,2,2,7,5,6,2,3,1,24,7,5,4,1,reg,UK
3,3,4,3,6,6,6,6,6,6,6,6,2,6,2,5,2,2,2,2,2,6,1,1,1,1,5,5,5,5,5,5,53,7,7,1,7,sat,NZ
2,3,2,4,3,3,3,3,3,1,5,4,4,2,3,1,2,2,3,2,2,4,4,2,6,4,4,5,3,3,3,3,21,2,4,1,1,sat,NZ
1,1,6,1,5,5,6,6,6,5,4,6,5,5,2,5,2,1,1,1,1,5,1,6,2,2,5,5,5,3,3,3,27,2,6,6,6,reg,UK
2,4,1,2,2,2,2,5,4,5,2,6,2,5,4,3,4,4,6,6,5,2,6,6,6,6,5,5,5,3,3,3,26,5,5,3,4,sat,UK
1,1,1,1,1,5,5,6,6,5,5,6,2,5,1,5,1,1,3,3,2,5,3,3,3,6,2,5,5,6,5,3,27,4,7,5,6,sat,NZ
3,3,5,3,5,4,5,6,6,5,5,5,6,3,4,4,3,4,3,4,4,5,4,4,3,3,5,5,5,4,5,3,58,5,5,4,2,sat,UK
2,6,1,2,1,1,2,6,6,4,3,7,3,5,4,2,2,3,5,5,5,2,6,5,7,6,4,4,6,5,5,3,24,5,5,6,6,sat,UK
4,4,4,4,1,5,3,6,6,3,5,6,3,2,3,2,2,2,6,6,5,5,7,7,7,7,5,5,5,6,6,6,24,2,5,2,3,sat,NZ
3,3,3,2,2,5,5,6,6,2,2,6,5,3,3,2,2,2,2,2,2,3,2,2,3,5,4,4,4,4,4,4,19,3,3,2,4,reg,UK
2,5,6,2,3,2,3,7,7,6,5,7,6,6,5,6,3,3,2,2,4,5,2,3,2,6,6,2,2,2,6,5,20,5,5,4,3,reg,NZ
4,4,4,4,4,4,4,6,6,6,6,7,7,4,4,5,1,4,1,1,5,1,2,2,2,3,4,3,3,3,5,3,18,3,4,1,1,reg,UK
2,4,5,2,4,4,4,5,5,5,4,6,6,6,2,5,3,2,2,2,4,5,2,2,2,2,4,4,4,4,4,4,33,5,5,3,5,reg,UK
3,2,6,2,6,4,5,6,6,6,2,6,6,5,6,6,3,3,3,3,2,6,3,3,3,3,2,2,2,6,6,6,50,7,7,1,1,reg,UK
2,2,1,2,5,5,7,7,6,1,1,5,1,3,2,1,1,2,7,7,5,7,7,7,7,7,6,6,6,2,2,2,35,5,5,2,1,sat,UK
4,4,2,2,5,4,5,6,5,4,2,6,2,3,3,2,4,1,6,6,3,5,6,5,6,7,5,3,5,3,5,3,42,1,5,6,3,sat,UK
2,3,4,3,4,4,4,6,6,3,6,7,7,1,4,1,2,3,2,4,3,4,1,1,1,2,3,3,3,5,5,6,35,4,7,3,3,reg,NZ
4,3,4,2,2,2,3,6,6,2,2,2,2,2,4,2,1,2,5,5,4,2,5,4,6,7,6,5,2,2,6,6,22,5,5,3,2,sat,NZ
2,4,4,3,4,4,3,6,6,4,1,5,5,3,2,4,2,2,2,2,2,4,3,5,5,3,4,4,4,4,4,4,28,2,3,2,2,reg,UK
4,4,4,4,4,4,4,6,6,2,2,2,2,2,4,2,4,2,2,2,2,2,5,5,4,5,1,1,1,5,7,6,44,2,3,4,5,sat,UK
4,4,4,4,4,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,3,5,4,5,38,2,4,4,4,reg,NZ
4,4,4,4,4,4,4,4,6,4,2,5,5,4,4,5,4,4,4,4,4,4,3,3,3,3,4,4,4,5,5,5,40,5,5,2,2,reg,UK
4,4,4,4,4,4,4,6,6,5,2,5,2,4,4,4,3,2,2,2,3,2,2,3,2,2,4,4,4,4,4,4,31,2,3,2,4,reg,UK
2,5,2,3,5,4,4,6,6,2,5,2,5,3,1,2,2,2,5,5,5,3,6,5,5,5,3,2,2,5,5,5,44,3,6,2,4,sat,UK
1,1,2,3,1,2,1,7,7,5,5,6,3,5,5,5,3,4,2,3,3,2,1,1,7,1,5,3,2,3,5,6,21,4,3,2,5,reg,UK
1,2,5,2,4,2,5,7,7,5,7,7,6,6,4,6,1,1,1,1,1,5,2,4,6,2,3,4,1,6,5,6,56,5,5,3,4,sat,UK
4,2,2,5,2,2,4,6,6,2,2,6,2,2,2,2,2,1,2,6,2,2,7,6,3,6,6,6,5,2,2,2,27,3,4,2,6,sat,UK
2,4,2,2,2,2,5,6,6,6,4,6,2,5,6,5,5,4,6,6,6,4,4,5,5,2,5,5,3,3,3,6,33,5,6,6,5,sat,UK
2,4,4,4,4,4,4,4,4,2,1,5,1,4,4,4,4,2,2,2,2,4,3,7,5,7,1,2,1,7,7,7,28,4,6,2,1,sat,UK
4,4,4,4,4,4,4,3,3,1,1,7,1,4,4,4,4,4,4,4,4,4,7,6,3,7,6,6,5,4,4,4,30,4,6,4,5,sat,UK
1,1,1,1,1,1,1,3,3,3,2,2,2,2,2,3,1,2,2,2,2,2,3,6,2,6,3,2,2,5,7,6,46,4,6,1,3,sat,NZ
4,4,4,5,5,2,5,6,6,6,6,6,6,5,4,6,4,4,2,3,3,5,3,3,5,4,5,5,5,5,5,4,60,7,7,4,4,sat,NZ
4,2,5,3,5,4,3,6,6,4,3,3,5,2,3,3,2,4,1,3,3,1,1,1,3,2,5,5,1,3,3,7,21,2,7,1,1,sat,UK
4,3,5,4,4,3,5,6,6,6,5,5,3,6,5,6,5,2,1,2,4,5,2,5,4,2,5,4,3,3,4,6,70,7,7,2,3,reg,NZ
2,2,2,3,4,5,5,6,5,5,3,6,4,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,3,3,4,52,3,7,4,4,sat,UK
2,3,2,3,1,2,5,6,6,5,6,7,2,6,4,5,2,2,5,6,4,5,5,5,6,6,6,6,6,2,2,2,34,5,7,6,5,sat,UK
1,1,5,2,5,5,6,6,6,5,6,6,6,5,2,5,2,2,2,2,2,5,2,1,2,2,3,3,3,5,5,5,45,3,7,4,2,reg,UK
5,5,4,4,6,5,4,6,6,6,7,5,4,5,4,6,4,4,2,2,4,5,2,2,2,6,5,4,7,4,5,4,24,3,3,2,1,sat,UK
2,3,4,2,2,3,2,3,1,1,1,5,1,1,1,1,1,1,5,5,5,4,5,5,4,7,5,4,4,4,5,4,32,4,5,3,4,sat,NZ
1,3,1,1,1,5,1,7,6,2,3,7,1,5,1,2,1,2,1,1,1,1,2,2,3,6,6,6,6,2,2,2,41,2,7,3,7,sat,NZ
4,4,4,4,1,1,4,5,5,2,2,6,2,2,2,2,2,2,1,2,2,2,1,2,3,1,4,4,2,3,3,4,33,4,4,3,4,reg,UK
4,4,4,4,2,2,2,6,6,4,4,6,1,4,4,4,4,4,6,6,6,3,5,3,4,6,6,4,4,2,3,3,44,6,4,2,4,sat,UK
5,3,5,4,2,2,5,7,7,4,6,7,7,5,4,6,2,5,1,1,3,4,2,4,5,5,7,3,4,7,5,4,32,2,4,2,3,reg,NZ
4,2,4,2,4,3,4,5,6,3,2,7,5,4,1,4,2,2,5,5,1,4,4,5,7,2,3,2,1,3,3,1,29,3,5,2,6,sat,UK
4,4,4,4,4,4,4,4,4,1,4,6,2,1,4,4,4,4,4,4,4,5,2,4,4,5,5,4,4,3,4,4,29,1,3,4,4,reg,NZ
3,3,3,3,4,5,5,7,6,3,5,6,5,4,2,4,3,3,5,5,4,5,1,3,3,5,6,5,5,3,3,3,25,5,5,5,5,reg,UK
1,2,3,6,1,5,2,6,6,2,5,6,6,6,5,7,5,4,5,7,5,2,7,7,7,7,7,3,6,2,5,2,38,1,3,3,2,sat,NZ
2,4,5,4,1,4,5,7,6,5,2,6,2,6,1,5,2,2,2,4,2,5,1,2,1,4,6,3,5,2,5,2,69,6,7,3,4,reg,UK
1,2,2,1,4,1,1,7,6,3,3,2,4,5,4,2,2,2,4,6,2,1,2,3,4,4,6,5,1,1,4,6,43,6,5,5,4,sat,NZ
2,4,2,2,2,2,2,6,3,6,5,7,2,6,2,6,2,2,2,1,1,4,1,1,2,1,5,5,5,5,5,5,45,6,6,3,3,reg,UK
2,2,3,3,5,5,6,6,5,6,6,6,6,7,5,7,6,2,1,5,6,7,2,4,5,2,3,5,2,5,3,5,37,7,5,4,3,reg,NZ
2,2,2,4,5,4,5,6,6,6,5,5,5,6,5,6,5,3,2,2,2,6,1,1,3,1,5,5,5,3,3,3,71,6,6,6,6,reg,UK
2,2,4,1,7,5,7,7,7,7,7,7,7,6,2,6,2,1,1,3,3,7,2,1,2,2,3,1,3,5,6,7,27,3,4,1,1,reg,NZ
2,1,2,2,2,3,3,6,6,2,6,6,2,3,3,3,4,3,3,4,3,2,6,6,6,6,5,5,2,3,3,5,33,4,5,7,7,sat,NZ
5,4,4,4,5,3,6,6,6,7,5,7,5,6,5,5,3,3,2,2,3,3,2,3,3,2,5,2,2,3,6,5,24,5,7,1,1,reg,NZ
4,4,5,2,5,2,2,7,6,6,5,2,2,6,4,6,4,4,2,4,4,3,3,4,4,6,5,3,2,5,5,2,29,3,4,3,2,sat,NZ
3,5,5,2,2,1,1,6,6,5,5,5,2,5,4,5,3,4,2,5,4,5,3,2,3,3,5,5,2,3,3,5,59,4,6,2,2,sat,NZ
3,4,5,3,3,3,3,3,5,5,5,5,5,4,5,5,3,3,3,4,5,3,3,3,3,3,5,5,5,5,5,5,27,4,3,4,4,reg,NZ
3,4,5,3,2,2,4,5,5,4,5,5,5,3,4,4,3,4,2,2,3,4,2,3,2,2,4,3,4,4,5,4,40,6,6,2,3,sat,UK
2,5,2,2,2,5,3,5,5,6,5,6,6,5,4,5,2,2,2,5,4,2,4,3,5,6,4,5,3,4,5,3,20,4,4,3,2,sat,UK
3,5,3,4,1,1,4,6,6,3,2,5,2,5,3,5,4,2,2,3,5,2,3,4,3,5,5,5,5,5,5,5,25,3,5,2,4,sat,UK
1,1,2,3,5,5,5,5,6,5,6,7,5,3,1,5,1,1,1,1,1,6,1,2,3,2,4,2,2,6,5,7,43,3,7,3,6,reg,UK
3,4,3,3,4,5,4,6,6,4,3,3,3,4,4,4,4,4,4,4,3,4,6,6,6,7,3,3,3,5,5,5,27,2,3,2,3,sat,UK
1,1,1,1,1,1,1,7,7,4,1,4,1,4,4,3,4,4,4,4,4,4,1,1,1,1,4,5,4,4,6,2,38,3,7,5,4,reg,UK
3,5,1,3,1,3,5,5,5,1,2,2,2,3,1,3,4,3,5,1,1,1,1,1,3,2,7,5,4,3,5,4,28,1,1,2,5,reg,NZ
4,4,4,4,1,1,1,6,6,5,6,6,5,6,4,5,3,3,1,4,3,4,1,1,2,1,3,3,3,3,3,2,19,4,5,3,6,reg,NZ
3,4,2,4,3,2,3,6,5,5,3,5,3,3,4,4,2,1,1,1,1,5,2,2,2,3,4,3,1,3,5,7,76,3,7,1,1,sat,NZ
4,4,5,4,5,5,2,6,6,5,6,6,6,4,4,5,5,3,1,4,5,5,2,1,1,3,6,5,5,3,4,5,27,3,7,7,6,reg,NZ
1,1,2,1,5,2,3,6,6,4,6,6,6,4,4,4,1,1,1,1,3,5,1,5,3,1,3,3,1,5,5,6,38,1,5,4,4,reg,NZ
4,3,3,3,2,4,5,6,6,2,5,5,2,2,2,2,1,3,4,4,3,4,3,4,4,5,3,5,2,4,3,5,27,3,6,4,4,sat,UK
2,4,1,3,5,6,5,5,5,2,1,6,1,3,2,1,2,1,5,1,3,7,2,1,7,1,6,5,5,1,5,2,33,2,5,2,4,reg,UK
3,4,2,2,5,3,3,5,6,5,5,5,5,4,4,5,2,4,2,2,3,5,2,2,3,2,5,5,5,3,3,3,49,5,2,4,2,sat,UK
4,4,4,4,2,2,2,5,5,4,6,6,5,2,3,5,4,4,4,4,3,2,3,3,2,4,6,5,3,2,2,6,31,1,7,1,1,sat,NZ
4,4,4,2,1,1,2,6,4,4,4,2,4,4,4,3,3,2,1,1,1,2,2,2,3,2,4,5,5,3,5,3,47,6,5,2,2,sat,NZ
2,3,4,4,3,6,4,7,6,5,6,6,5,2,4,4,1,2,2,5,2,4,1,2,1,3,6,4,2,2,4,6,28,1,3,1,1,reg,NZ
4,2,5,3,4,4,5,4,4,6,6,6,6,6,4,6,3,2,2,2,3,5,2,3,2,2,5,4,3,3,4,5,53,7,6,6,6,reg,NZ
1,1,2,2,5,6,6,6,6,6,6,6,3,6,1,2,2,2,1,1,2,7,1,2,2,2,2,1,1,7,7,6,28,5,5,2,3,sat,NZ
6,5,4,5,3,1,4,6,6,7,4,7,2,6,6,7,6,5,2,3,6,2,5,4,5,5,4,4,3,3,4,4,22,4,5,1,3,sat,NZ
1,4,3,2,5,2,5,6,6,2,6,6,3,3,2,4,2,2,1,1,2,5,1,6,6,1,5,2,5,5,6,5,30,6,7,2,1,reg,UK
4,3,6,2,5,3,5,6,4,5,5,6,5,4,5,5,3,4,1,2,2,5,2,3,2,1,5,2,6,3,5,6,32,5,6,3,4,reg,NZ
1,4,5,2,3,4,2,6,6,5,5,5,2,4,3,5,4,2,5,5,2,5,3,5,3,5,3,5,5,5,3,3,33,1,5,5,4,sat,UK
1,4,4,2,4,2,3,7,7,5,7,7,7,5,4,6,1,1,1,1,1,4,1,2,4,1,5,2,5,2,6,2,38,7,7,7,4,reg,UK
2,4,2,2,6,6,5,5,5,3,1,6,6,3,4,3,2,2,1,2,3,6,4,2,2,2,2,2,2,6,6,6,37,6,5,2,1,sat,UK
4,5,5,3,5,1,2,6,5,5,4,5,5,3,3,4,3,2,5,5,5,4,3,3,5,3,4,4,2,3,5,5,30,5,3,4,5,sat,UK
3,4,4,3,6,5,5,5,5,4,3,4,5,6,4,4,2,3,3,4,1,5,4,4,3,5,4,2,3,6,6,5,32,2,5,1,2,sat,NZ
4,4,4,4,4,5,5,7,6,3,1,5,3,4,4,2,2,4,4,4,3,5,2,2,6,2,2,2,2,1,3,1,31,3,6,1,7,reg,UK
1,2,1,4,2,7,5,6,7,1,2,3,3,1,1,1,1,1,1,1,1,4,6,6,7,6,3,3,1,5,7,6,25,2,4,2,2,sat,NZ
5,4,4,4,1,1,2,5,5,5,2,6,5,4,4,6,2,4,5,5,4,2,3,5,2,5,5,5,4,4,4,4,23,3,3,3,3,sat,UK
4,4,4,2,2,4,5,4,5,4,5,5,3,5,4,3,4,4,5,5,4,2,5,6,5,5,6,5,5,2,3,3,32,4,5,6,5,sat,NZ